iter	Passed	Remaining
407	4733	6867
408	4743	6854
409	4754	6841
410	4767	6832
411	4777	6818
412	4788	6806
413	4799	6793
414	4809	6779
415	4821	6768
416	4833	6757
417	4842	6742
418	4853	6730
419	4864	6717
420	4874	6704
421	4887	6693
422	4898	6681
423	4907	6667
424	4919	6655
425	4930	6643
426	4939	6628
427	4952	6618
428	4963	6605
429	4972	6591
430	4983	6579
431	4993	6565
432	5003	6551
433	5014	6539
434	5026	6528
435	5037	6516
436	5048	6503
437	5058	6490
438	5069	6477
439	5080	6466
440	5091	6454
441	5102	6441
442	5113	6429
443	5123	6415
444	5134	6403
445	5144	6390
446	5156	6378
447	5167	6366
448	5178	6354
449	5188	6341
450	5199	6329
451	5210	6317
452	5221	6305
453	5233	6293
454	5244	6281
455	5253	6267
456	5264	6255
457	5275	6243
458	5287	6232
459	5300	6222
460	5312	6211
461	5323	6199
462	5333	6186
463	5345	6175
464	5356	6163
465	5368	6151
466	5379	6140
467	5390	6128
468	5401	6115
469	5413	6105
470	5426	6094
471	5437	6082
472	5448	6070
473	5461	6061
474	5478	6054
475	5491	6045
476	5502	6033
477	5512	6020
478	5523	6008
479	5533	5995
480	5545	5983
481	5556	5971
482	5565	5957
483	5576	5945
484	5587	5933
485	5598	5921
486	5611	5911
487	5623	5899
488	5633	5887
489	5644	5875
490	5656	5863
491	5667	5851
492	5679	5840
493	5692	5830
494	5704	5819
495	5714	5806
496	5725	5794
497	5739	5786
498	5752	5775
499	5762	5762
500	5773	5750
501	5784	5738
502	5802	5733
503	5814	5722
504	5825	5709
505	5836	5697
506	5846	5684
507	5855	5670
508	5866	5659
509	5878	5647
510	5888	5635
511	5900	5623
512	5910	5611
513	5921	5598
514	5933	5587
515	5947	5578
516	5957	5565
517	5968	5553
518	5979	5541
519	5989	5529
520	6002	5518
521	6014	5507
522	6024	5494
523	6035	5482
524	6045	5470
525	6055	5456
526	6067	5446
527	6078	5433
528	6087	5420
529	6098	5407
530	6107	5394
531	6116	5381
532	6129	5370
533	6139	5357
534	6151	5346
535	6164	5336
536	6175	5324
537	6186	5312
538	6198	5301
539	6211	5290
540	6221	5278
541	6232	5266
542	6243	5254
543	6253	5241
544	6264	5229
545	6274	5217
546	6285	5205
547	6296	5193
548	6307	5181
549	6317	5168
550	6329	5157
551	6340	5146
552	6352	5134
553	6363	5123
554	6373	5110
555	6384	5098
556	6396	5087
557	6408	5075
558	6418	5063
559	6429	5052
560	6441	5040
561	6451	5027
562	6466	5019
563	6476	5006
564	6488	4995
565	6499	4983
566	6509	4971
567	6520	4959
568	6532	4948
569	6547	4939
570	6560	4929
571	6571	4916
572	6581	4904
573	6592	4892
574	6602	4880
575	6613	4867
576	6623	4855
577	6633	4843
578	6643	4830
579	6654	4818
580	6667	4808
581	6677	4796
582	6688	4783
583	6697	4770
584	6707	4758
585	6718	4746
586	6730	4735
587	6740	4723
588	6752	4711
589	6763	4699
590	6774	4687
591	6784	4675
592	6795	4664
593	6806	4652
594	6816	4639
595	6826	4627
596	6835	4614
597	6845	4601
598	6857	4590
599	6867	4578
600	6877	4566
601	6889	4554
602	6899	4542
603	6908	4529
604	6922	4519
605	6932	4507
606	6942	4494
607	6953	4482
608	6963	4470
609	6972	4458
610	6984	4446
611	6994	4434
612	7004	4422
613	7016	4410
614	7025	4398
615	7035	4385
616	7046	4373
617	7057	4362
618	7068	4350
619	7079	4339
620	7090	4327
621	7101	4315
622	7112	4304
623	7125	4293
624	7136	4281
625	7147	4270
626	7157	4258
627	7168	4246
628	7179	4234
629	7189	4222
630	7199	4210
631	7209	4198
632	7245	4201
633	7265	4194
634	7278	4183
635	7287	4170
636	7297	4158
637	7307	4146
638	7325	4138
639	7336	4126
640	7347	4115
641	7357	4102
642	7367	4090
643	7381	4080
644	7392	4068
645	7401	4056
646	7412	4044
647	7423	4032
648	7433	4020
649	7445	4008
650	7457	3997
651	7467	3985
652	7484	3977
653	7495	3965
654	7506	3953
655	7516	3941
656	7526	3929
657	7538	3918
658	7549	3906
659	7560	3894
660	7571	3883
661	7584	3872
662	7595	3860
663	7605	3848
664	7615	3836
665	7625	3824
666	7635	3811
667	7647	3800
668	7657	3788
669	7667	3776
670	7678	3764
671	7688	3752
672	7698	3740
673	7710	3729
674	7720	3717
675	7730	3705
676	7741	3693
677	7751	3681
678	7761	3669
679	7774	3658
680	7784	3646
681	7794	3634
682	7806	3623
683	7817	3611
684	7827	3599
685	7838	3588
686	7850	3576
687	7860	3564
688	7872	3553
689	7882	3541
690	7892	3529
691	7903	3517
692	7914	3506
693	7924	3494
694	7935	3482
695	7945	3470
696	7955	3458
697	7965	3446
698	7976	3434
699	7987	3423
700	7998	3411
701	8008	3399
702	8018	3387
703	8027	3375
704	8039	3363
705	8049	3352
706	8060	3340
707	8071	3329
708	8082	3317
709	8092	3305
710	8107	3295
711	8117	3283
712	8128	3271
713	8139	3260
714	8149	3248
715	8168	3239
716	8179	3228
717	8188	3216
718	8200	3204
719	8210	3192
720	8221	3181
721	8232	3169
722	8243	3158
723	8254	3146
724	8265	3135
725	8274	3123
726	8285	3111
727	8295	3099
728	8308	3088
729	8318	3076
730	8330	3065
731	8340	3053
732	8350	3041
733	8361	3030
734	8371	3018
735	8382	3006
736	8392	2994
737	8402	2983
738	8412	2971
739	8422	2959
740	8443	2951
741	8453	2939
742	8464	2927
743	8474	2915
744	8483	2903
745	8494	2892
746	8505	2880
747	8515	2868
748	8526	2857
749	8536	2845
750	8546	2833
751	8561	2823
752	8572	2812
753	8582	2800
754	8595	2789
755	8605	2777
756	8615	2765
757	8626	2754
758	8637	2742
759	8648	2731
760	8658	2719
761	8668	2707
762	8677	2695
763	8688	2683
764	8699	2672
765	8709	2660
766	8720	2649
767	8730	2637
768	8740	2625
769	8750	2613
770	8762	2602
771	8773	2591
772	8784	2579
773	8794	2567
774	8804	2556
775	8814	2544
776	8827	2533
777	8838	2522
778	8850	2510
779	8860	2499
780	8871	2487
781	8882	2476
782	8893	2464
783	8904	2453
784	8915	2441
785	8925	2430
786	8938	2419
787	8951	2408
788	8963	2397
789	8973	2385
790	8984	2373
791	8995	2362
792	9018	2354
793	9032	2343
794	9042	2331
795	9053	2320
796	9064	2308
797	9075	2297
798	9087	2285
799	9099	2274
800	9111	2263
801	9121	2252
802	9133	2240
803	9144	2229
804	9155	2217
805	9167	2206
806	9178	2195
807	9188	2183
808	9200	2172
809	9210	2160
810	9221	2148
811	9233	2137
812	9244	2126
813	9254	2114
814	9265	2103
815	9276	2091
816	9288	2080
817	9300	2069
818	9312	2058
819	9323	2046
820	9333	2034
821	9347	2024
822	9360	2013
823	9370	2001
824	9381	1990
825	9393	1978
826	9410	1968
827	9425	1957
828	9435	1946
829	9447	1935
830	9458	1923
831	9468	1911
832	9479	1900
833	9493	1889
834	9503	1878
835	9514	1866
836	9525	1855
837	9536	1843
838	9548	1832
839	9560	1821
840	9572	1809
841	9583	1798
842	9594	1786
843	9606	1775
844	9617	1764
845	9629	1752
846	9641	1741
847	9651	1730
848	9662	1718
849	9676	1707
850	9688	1696
851	9698	1684
852	9709	1673
853	9721	1661
854	9741	1652
855	9755	1641
856	9765	1629
857	9775	1617
858	9786	1606
859	9796	1594
860	9808	1583
861	9820	1572
862	9832	1560
863	9843	1549
864	9854	1537
865	9864	1526
866	9876	1515
867	9912	1507
868	9927	1496
869	9944	1485
870	9956	1474
871	9969	1463
872	9979	1451
873	9990	1440
874	10000	1428
875	10012	1417
876	10026	1406
877	10037	1394
878	10047	1383
879	10057	1371
880	10069	1360
881	10082	1348
882	10092	1337
883	10102	1325
884	10113	1314
885	10123	1302
886	10136	1291
887	10147	1279
888	10158	1268
889	10169	1256
890	10180	1245
891	10190	1233
892	10201	1222
893	10213	1211
894	10226	1199
895	10236	1188
896	10247	1176
897	10258	1165
898	10270	1153
899	10284	1142
900	10295	1131
901	10305	1119
902	10317	1108
903	10328	1096
904	10341	1085
905	10353	1074
906	10365	1062
907	10378	1051
908	10389	1040
909	10401	1028
910	10412	1017
911	10424	1005
912	10436	994
913	10447	983
914	10460	971
915	10472	960
916	10490	949
917	10502	938
918	10513	926
919	10527	915
920	10538	903
921	10548	892
922	10559	880
923	10568	869
924	10580	857
925	10590	846
926	10601	834
927	10612	823
928	10623	811
929	10634	800
930	10644	788
931	10655	777
932	10668	766
933	10679	754
934	10691	743
935	10701	731
936	10712	720
937	10723	708
938	10734	697
939	10745	685
940	10756	674
941	10766	662
942	10777	651
943	10788	640
944	10800	628
945	10811	617
946	10822	605
947	10832	594
948	10843	582
949	10854	571
950	10866	559
951	10877	548
952	10887	536
953	10897	525
954	10908	514
955	10923	502
956	10934	491
957	10944	479
958	10956	468
959	10967	456
960	10978	445
961	10990	434
962	11003	422
963	11014	411
964	11025	399
965	11037	388
966	11049	377
967	11062	365
968	11075	354
969	11088	342
970	11102	331
971	11111	320
972	11125	308
973	11138	297
974	11150	285
975	11160	274
976	11171	262
977	11184	251
978	11195	240
979	11206	228
980	11219	217
981	11230	205
982	11240	194
983	11254	182
984	11266	171
985	11277	160
986	11287	148
987	11298	137
988	11308	125
989	11321	114
990	11333	102
991	11345	91
992	11356	80
993	11369	68
994	11381	57
995	11397	45
996	11409	34
997	11427	22
998	11440	11
999	11451	0
