iter	Logloss
374	0.1873415442
375	0.1873016174
376	0.187269032
377	0.1872398535
378	0.187156488
379	0.1871069128
380	0.1870803406
381	0.1870332117
382	0.1870052747
383	0.1869682764
384	0.186924856
385	0.1868720679
386	0.186840863
387	0.1868115564
388	0.1867607031
389	0.1867176868
390	0.1866651978
391	0.1866170935
392	0.1865881726
393	0.186543623
394	0.1864965125
395	0.1864256409
396	0.1863870398
397	0.1863499194
398	0.1863114978
399	0.1862750171
400	0.1862328821
401	0.1861418726
402	0.18610375
403	0.1860674768
404	0.186036759
405	0.185996189
406	0.185954198
407	0.1859183691
408	0.1858848047
409	0.1858546411
410	0.1858250586
411	0.1857762073
412	0.1857410474
413	0.1856929443
414	0.185637312
415	0.1856074011
416	0.1855646167
417	0.1854799866
418	0.1854297705
419	0.1854026147
420	0.1853642773
421	0.1853266248
422	0.1852856494
423	0.1852430811
424	0.1851988403
425	0.1851737036
426	0.1851295166
427	0.1851049158
428	0.1850730798
429	0.1850261047
430	0.1849824719
431	0.1849366565
432	0.1848726965
433	0.184766355
434	0.1847140588
435	0.1846565442
436	0.1846220459
437	0.1845648486
438	0.1845342004
439	0.1844848083
440	0.1844574048
441	0.1844158667
442	0.1843897571
443	0.1843611536
444	0.1843100281
445	0.1842833203
446	0.1842385901
447	0.1841955981
448	0.1841778235
449	0.184143363
450	0.1840941101
451	0.1840590576
452	0.1840089526
453	0.1839752319
454	0.1839252649
455	0.1838817371
456	0.1838524609
457	0.1838231689
458	0.1837520593
459	0.1837118201
460	0.1836636926
461	0.1836186328
462	0.1835773584
463	0.1835330359
464	0.183494823
465	0.1834507898
466	0.1834302136
467	0.1834010596
468	0.1833718372
469	0.1833296399
470	0.1833091736
471	0.1832708679
472	0.1832363245
473	0.1832002246
474	0.1831581641
475	0.1830273022
476	0.18298323
477	0.1829439441
478	0.1829127893
479	0.1828729248
480	0.1828505066
481	0.182806748
482	0.1827815833
483	0.1827403723
484	0.1827023047
485	0.182661698
486	0.1826165454
487	0.1825758643
488	0.1825486536
489	0.182498573
490	0.1824512842
491	0.1824141174
492	0.1823793115
493	0.1823299658
494	0.1822912939
495	0.1822571436
496	0.1822292505
497	0.182190885
498	0.1821507117
499	0.1821242847
500	0.1820820215
501	0.1820176416
502	0.1819546326
503	0.1819165735
504	0.1818707458
505	0.1818238318
506	0.1817971912
507	0.1817653882
508	0.1817373376
509	0.1816616382
510	0.1816317273
511	0.1815528992
512	0.181518595
513	0.1814803064
514	0.1814470435
515	0.1814236743
516	0.1813910339
517	0.1813538062
518	0.1813215039
519	0.1812807788
520	0.1812422852
521	0.1812086987
522	0.1811720105
523	0.1811331299
524	0.1810900317
525	0.1810455969
526	0.1810079736
527	0.1809644897
528	0.1809257886
529	0.1809044153
530	0.180864552
531	0.180834696
532	0.1807959009
533	0.1807706226
534	0.1807335071
535	0.1807085925
536	0.1806790186
537	0.1806428589
538	0.1805976367
539	0.1805721899
540	0.1805442273
541	0.180513042
542	0.1804794189
543	0.180440166
544	0.1803993872
545	0.18036625
546	0.1803345557
547	0.1802899756
548	0.1802409143
549	0.1802072998
550	0.1801834045
551	0.1801548364
552	0.1801301123
553	0.1801024805
554	0.1800474792
555	0.1800106934
556	0.1799615088
557	0.1799410303
558	0.1799051453
559	0.179844873
560	0.179786665
561	0.1797518896
562	0.1797120374
563	0.1796850134
564	0.1796592664
565	0.1796198584
566	0.1795804224
567	0.1795387549
568	0.179492019
569	0.1794646045
570	0.1794295032
571	0.1793814978
572	0.1793452698
573	0.1793050989
574	0.1792648279
575	0.1792315808
576	0.1792007385
577	0.1791634998
578	0.1791255811
579	0.1789205469
580	0.1787679077
581	0.1787407288
582	0.1786101904
583	0.1785731445
584	0.1785421411
585	0.1785022876
586	0.1784747913
587	0.1784482629
588	0.1784185425
589	0.178379873
590	0.1783477393
591	0.1783121912
592	0.1782813318
593	0.1782496875
594	0.178212594
595	0.1780051465
596	0.1779551477
597	0.1779325903
598	0.1778995361
599	0.1778454114
600	0.1778168066
601	0.1777624963
602	0.1777386365
603	0.1776937354
604	0.1776608337
605	0.177631698
606	0.177590752
607	0.1775644995
608	0.1775165479
609	0.1774866797
610	0.1774525854
611	0.1774205493
612	0.1773885645
613	0.1773527612
614	0.1773251489
615	0.1772853943
616	0.1772551648
617	0.1772328833
618	0.1771992285
619	0.1771695618
620	0.1771149048
621	0.1770709363
622	0.1770514746
623	0.1770188721
624	0.1769946179
625	0.1769573083
626	0.1769153711
627	0.1768711536
628	0.1767927502
629	0.1767645972
630	0.1767321509
631	0.1766940063
632	0.1766734338
633	0.1766336609
634	0.1766003406
635	0.1765762695
636	0.1764213843
637	0.1763947266
638	0.1763638599
639	0.1763301843
640	0.1762922192
641	0.176257655
642	0.1762242017
643	0.1761908765
644	0.1761334753
645	0.1761008142
646	0.1760724536
647	0.1760189075
648	0.1759826111
649	0.1759427332
650	0.1759107629
651	0.175878811
652	0.1758337976
653	0.1758020508
654	0.1757591602
655	0.1757145581
656	0.17568302
657	0.1756500049
658	0.1755877539
659	0.1755491357
660	0.1755228088
661	0.1754911853
662	0.1754559583
663	0.1754387598
664	0.1754008484
665	0.1753633423
666	0.1753260889
667	0.1753002063
668	0.1752647803
669	0.1752150415
670	0.1751764099
671	0.175139939
672	0.1751056787
673	0.1750838232
674	0.1750595471
675	0.1750204517
676	0.1749776343
677	0.1749504028
678	0.1749354126
679	0.1748988123
680	0.1748215356
681	0.1747918506
682	0.1747528357
683	0.1747178381
684	0.174686438
685	0.1746410889
686	0.1746096045
687	0.1745720642
688	0.174532854
689	0.174501366
690	0.1744568103
691	0.174426532
692	0.1744019263
693	0.1743831799
694	0.1743531824
695	0.1743232507
696	0.1742859253
697	0.1742467944
698	0.1742076953
699	0.1741828003
700	0.1741433948
701	0.174112406
702	0.1740856702
703	0.1740543066
704	0.174015304
705	0.1739865051
706	0.1739549207
707	0.1739216724
708	0.1738907703
709	0.1738693115
710	0.1738325269
711	0.1738036218
712	0.1737713232
713	0.1737406079
714	0.1737165015
715	0.1736868005
716	0.1736550085
717	0.173615918
718	0.1735957959
719	0.17355948
720	0.1735304211
721	0.1735011182
722	0.1734729614
723	0.1734411853
724	0.1734148889
725	0.1733715991
726	0.173335968
727	0.1733060632
728	0.1732715234
729	0.1732527795
730	0.1731753516
731	0.1731479333
732	0.1731261597
733	0.1730887329
734	0.1730459082
735	0.1730211609
736	0.1729741394
737	0.1729349475
738	0.1728995154
739	0.1728785449
740	0.1728594348
741	0.1728239746
742	0.1727898291
743	0.1727495142
744	0.1727119678
745	0.172681416
746	0.1726389392
747	0.1726105005
748	0.1724980408
749	0.1724782764
750	0.1724476379
751	0.1724240405
752	0.172386344
753	0.1723566394
754	0.1723189807
755	0.1722860059
756	0.1722461633
757	0.1722223474
758	0.1721967615
759	0.1721662866
760	0.1721379395
761	0.1721109375
762	0.1720775769
763	0.1720398718
764	0.1720234998
765	0.1719932092
766	0.1719545203
767	0.1719231128
768	0.1718842139
769	0.1718600366
770	0.171836427
771	0.1718031763
772	0.1717772375
773	0.1717377759
774	0.1716983643
775	0.1716706201
776	0.1716443616
777	0.1716149048
778	0.1715835229
779	0.1715489746
780	0.1715097925
781	0.1714731384
782	0.1714450305
783	0.1714066077
784	0.1713741309
785	0.1712841248
786	0.1712434875
787	0.1712065637
788	0.1711777759
789	0.1711535608
790	0.1711301819
791	0.1711002856
792	0.1710737573
793	0.1710445642
794	0.1710060986
795	0.1709736487
796	0.1709461914
797	0.1709138452
798	0.1708804834
799	0.1708486475
800	0.1708206287
801	0.1707966736
802	0.1707664246
803	0.1707337952
804	0.170714071
805	0.1706723999
806	0.1706325024
807	0.1705952991
808	0.1705309375
809	0.1704847961
810	0.170467157
811	0.1704408801
812	0.1704045959
813	0.1703683997
814	0.1703424182
815	0.1703130896
816	0.1702922778
817	0.1702450671
818	0.1701849878
819	0.1701561963
820	0.1701404846
821	0.1701048401
822	0.1700671301
823	0.1700320605
824	0.1700018762
825	0.1699753833
826	0.1699459619
827	0.1699164954
828	0.1698870801
829	0.1698462524
830	0.1698110376
831	0.1697725232
832	0.1697443042
833	0.1697136914
834	0.1696822729
835	0.1696578796
836	0.1696310864
837	0.1695955615
838	0.1695616028
839	0.1695310339
840	0.1695011584
841	0.1694764453
842	0.1694365234
843	0.1693969519
844	0.1693641309
845	0.1693336304
846	0.1693093774
847	0.1692783264
848	0.1692525464
849	0.1692309253
850	0.1691811267
851	0.1691436572
852	0.1691115356
853	0.1690799707
854	0.1690603259
855	0.1690231433
856	0.1689965564
857	0.1689694409
858	0.1689370984
859	0.1689093762
860	0.168877832
861	0.1688401013
862	0.1688197424
863	0.1687919385
864	0.1687694946
865	0.1687381165
866	0.1687132959
867	0.168674967
868	0.1686415125
869	0.1686147717
870	0.1685870142
871	0.168556394
872	0.1685318018
873	0.1685029602
874	0.1684750757
875	0.1684365564
876	0.1684103784
877	0.1683798779
878	0.1683535181
879	0.168339436
880	0.1683159485
881	0.1682634631
882	0.1682306421
883	0.1682083862
884	0.168174856
885	0.168154054
886	0.1681369641
887	0.1681089001
888	0.1680717969
889	0.1680452039
890	0.1680175867
891	0.1679981836
892	0.1679677393
893	0.1679395203
894	0.1679013074
895	0.1678745215
896	0.1678408545
897	0.1678117371
898	0.1677811365
899	0.1677429932
900	0.1677153088
901	0.1676804651
902	0.167655708
903	0.1676218396
904	0.167588501
905	0.167550979
906	0.1675236011
907	0.1674813232
908	0.1674514575
909	0.1674265784
910	0.1673715527
911	0.1673438293
912	0.1673157239
913	0.1672889807
914	0.1672601489
915	0.1672243396
916	0.1671947974
917	0.1671661633
918	0.1671411804
919	0.1671123462
920	0.1670780017
921	0.1669567188
922	0.1669139575
923	0.1668867041
924	0.1668597485
925	0.1668356006
926	0.1668114783
927	0.1667819678
928	0.1667617456
929	0.1667320483
930	0.1667157813
931	0.1666819238
932	0.1666340735
933	0.1666151855
934	0.1665853906
935	0.166553075
936	0.166522937
937	0.16649599
938	0.1664695862
939	0.1664436536
940	0.1664146118
941	0.1663878845
942	0.1663664502
943	0.1663497827
944	0.1663289709
945	0.1663044849
946	0.1662735083
947	0.1662571387
948	0.1662294397
949	0.1662152515
950	0.1660722595
951	0.166035094
952	0.1660084143
953	0.1659814807
954	0.1659540186
955	0.1659343884
956	0.1659049036
957	0.1658809668
958	0.1658349255
959	0.1658058057
960	0.1657677673
961	0.1657383643
962	0.1657258069
963	0.1656839624
964	0.1656568555
965	0.1656312097
966	0.1656021436
967	0.1655712122
968	0.1655416052
969	0.1655030847
970	0.1654727563
971	0.1654568188
972	0.1654230518
973	0.165395249
974	0.1653592578
975	0.1653383691
976	0.1653016675
977	0.1652828906
978	0.1652597412
979	0.1652298389
980	0.1652000073
981	0.1651752161
982	0.1651510461
983	0.1651237817
984	0.1651060217
985	0.1650777222
986	0.1650622412
987	0.1650371948
988	0.1649996985
989	0.1649644983
990	0.1649462122
991	0.1649103821
992	0.1648789917
993	0.1648425818
994	0.1648110144
995	0.1647724036
996	0.1647428198
997	0.1647126672
998	0.1646039758
999	0.1645686292
